gwl,pH,TDS,HCO3,Cl,F,NO3,SO4,Na,K,Ca,Mg,T.H,SAR,Classification
19.85,7.51,1350.4,212.4227157,480,0.75,155.015,29.0,119.7580697,4.2,160.0,97.24,799.8355263,1.841096727,C3S1
25.01,7.67,1101.44,209.0156994,320,0.63,201.5195,28.0,138.4252969,6.5,96.0,77.792,559.8684211,2.543575549,C3S1
23.6,8.16,456.96,266.6117541,40,1.34,24.8024,10.0,63.58111447,1.87,48.0,24.31,219.9588816,1.863929787,C2S1
30.59,8.16,838.4,264.9932882,170,0.75,155.015,18.0,91.93025039,1.44,48.0,82.654,459.8601974,1.863878919,C3S1
37.3,7.98,224.0,113.627387,30,1.57,13.7299,6.0,25.34785991,1.3,32.0,9.724,119.9835526,1.006126537,C2S1
9.66,7.45,1868.8,172.1695995,770,0.32,186.018,36.0,169.4580472,5.0,264.0,106.964,1099.819079,2.221640259,C4S1
22.53,8.23,244.48,136.1340537,30,0.57,2.87885,8.0,22.0852428,3.85,32.0,14.586,139.9753289,0.811612251,C2S1
4.75,7.62,454.4,194.748032,80,0.86,37.6465,13.0,44.80065673,0.95,48.0,34.034,259.9424342,1.20814192,C2S1
12.83,8.24,243.84,121.8958017,40,0.57,2.43595,8.0,21.8373952,3.87,40.0,9.724,139.9835526,0.802480508,C2S1
9.36,7.29,556.8,340.3265974,50,3.6,9.07945,12.0,80.39848452,3.6,72.0,19.448,259.9671053,2.168007735,C3S1
8.97,8.3,694.4,337.9000242,120,1.78,12.62265,19.0,158.9467674,1.9,40.0,24.31,199.9588816,4.887125755,C3S1
4.84,7.49,1440.0,388.5544577,460,1.28,54.9196,31.0,189.9321594,2.7,192.0,58.344,719.9013158,3.077755998,C4S1
22.01,8.14,263.68,153.6031013,30,0.42,2.2145,6.0,19.80130163,3.94,40.0,14.586,159.9753289,0.680674369,C2S1
19.46,7.47,1067.52,342.726715,240,2.46,143.0567,28.0,99.84615619,4.17,200.0,29.172,619.9506579,1.743512044,C3S1
9.79,7.17,672.64,390.1001688,50,1.05,50.71205,18.0,105.5447845,1.05,88.0,19.448,299.9671053,2.649550036,C3S1
31.13,7.82,903.04,376.3478181,200,0.92,38.0894,9.0,151.7265771,2.2,56.0,58.344,379.9013158,3.384530448,C3S1
13.15,8.16,217.6,120.0,30,0.16,9.8080205,8.0,33.0,1.0,24.0,9.724,99.98355263,1.434900615,C2S1
2.62,7.81,1031.68,380.0,250,1.3,10.69965873,84.0,223.0,0.5,40.0,58.344,339.9013158,5.258968919,C3S1
3.59,8.08,1004.16,520.0,110,1.04,45.47354959,121.0,257.0,11.0,40.0,34.034,239.9424342,7.213595024,C3S1
6.06,7.2,677.76,212.0815183,150,0.27,101.20265,18.25,69.39478669,18.77,80.0,38.896,359.9342105,1.590330711,C3S1
23.38,7.49,1007.36,409.6734947,210,1.26,73.5214,13.5,73.42677121,12.0,152.0,58.344,619.9013158,1.282228177,C3S1
22.76,7.03,1271.04,399.6103422,320,1.06,137.52045,20.5,82.90497879,2.28,120.0,126.412,819.7861842,1.258932598,C3S1
31.75,7.58,1318.4,354.8408403,330,2.4,223.88595,18.25,98.97333282,4.2,104.0,136.136,819.7697368,1.502949603,C3S1
2.65,7.26,944.0,486.8347484,130,1.83,58.24135,12.5,84.12445627,1.67,88.0,82.654,559.8601974,1.545804751,C3S1
1.73,7.29,1754.88,417.3675018,600,1.19,84.151,25.0,240.9355435,0.9,136.0,126.412,859.7861842,3.572545807,C4S1
4.53,7.82,831.36,401.1507603,130,2.89,52.2622,15.75,135.3795653,1.4,48.0,58.344,359.9013158,3.102655538,C3S1
25.0,7.34,1018.88,341.3790364,240,1.5,108.73195,19.75,130.537583,0.22,112.0,58.344,519.9013158,2.489128244,C3S1
3.3,7.34,1836.8,581.6253822,420,0.79,256.66055,38.25,243.8144868,15.3,120.0,145.86,899.7532895,3.5340277,C4S1
15.55,7.5,748.16,367.2432106,80,0.56,104.5244,13.75,13.34107229,1.14,112.0,68.068,559.8848684,0.245139636,C3S1
9.84,7.3,823.68,345.4325897,150,0.76,85.4797,10.75,21.71424667,2.27,72.0,102.102,599.8273026,0.385481745,C3S1
29.72,7.18,2387.2,390.8383193,620,0.881,664.35,43.75,218.9643425,6.2,280.0,170.17,1399.712171,2.544639075,C4S1
0.57,8.09,647.68,282.8193913,130,1.59,13.46416,23.0,77.89601718,1.41,56.0,48.62,339.9177632,1.836963329,C3S1
3.47,8.25,275.2,143.234135,40,0.35,0.8858,12.0,33.75748878,2.95,48.0,4.862,139.9917763,1.24048362,C2S1
7.84,7.75,1128.96,301.6927609,310,0.54,34.878375,102.0,115.1167124,0.52,160.0,58.344,639.9013158,1.978581939,C3S1
5.35,8.15,901.76,343.2149609,200,0.82,39.19665,39.0,114.6073525,1.94,104.0,48.62,459.9177632,2.323510034,C3S1
12.09,7.19,1171.2,383.0599851,320,1.44,48.719,31.0,175.8569102,1.5,152.0,38.896,539.9342105,3.290494579,C3S1
10.64,8.92,744.32,349.8326311,60,1.84,94.55915,24.0,102.959453,2.8,56.0,53.482,359.9095395,2.359618061,C3S1
13.61,8.84,743.04,284.2767722,130,1.91,58.68425,19.0,112.0377129,2.23,32.0,63.206,339.8930921,2.64219721,C3S1
28.96,7.9,947.2,298.1381315,180,1.01,198.19775,20.0,94.43889745,1.75,80.0,82.654,539.8601974,1.767186632,C3S1
17.29,7.95,526.72,203.4671549,60,1.13,133.7558,11.0,23.38753429,3.79,72.0,43.758,359.9259868,0.535981746,C3S1
2.14,7.3,794.24,360.2593159,150,0.47,7.5293,35.0,57.93682515,0.61,176.0,14.586,499.9753289,1.126555441,C3S1
1.3,8.13,259.84,101.4866788,60,0.35,1.660875,13.0,37.61758289,2.55,40.0,4.862,119.9917763,1.493094547,C2S1
20.36,7.49,1753.6,244.2159616,440,0.78,558.054,40.0,219.6721916,36.2,208.0,82.654,859.8601974,3.257116733,C4S1
7.54,7.58,826.88,293.4019471,210,0.97,24.58095,29.0,96.02446958,2.96,104.0,43.758,439.9259868,1.990509581,C3S1
39.75,7.29,1798.4,260.7374567,770,0.41,20.28482,27.0,98.93572639,3.28,264.0,131.274,1199.777961,1.241866382,C4S1
9.85,7.17,1708.8,533.8639936,520,1.69,37.95653,23.0,332.9725306,3.6,144.0,63.206,619.8930921,5.814631174,C4S2
12.98,7.65,844.8,283.20758,200,3.3,77.0646,25.0,94.19945782,1.48,112.0,43.758,459.9259868,1.909750325,C3S1
13.46,8.1,958.08,480.4154311,170,2.36,2.6574,18.0,216.7556348,3.8,32.0,48.62,279.9177632,5.632838903,C3S1
9.43,7.17,1232.64,388.3180803,320,0.717,106.296,27.0,176.2833391,7.4,176.0,34.034,579.9424342,3.182665443,C3S1
14.58,7.98,903.04,364.4676613,210,1.29,25.001705,17.0,150.5274091,4.2,104.0,29.172,379.9506579,3.357562844,C3S1
10.65,7.64,1036.8,278.3064137,320,0.68,45.84015,34.0,97.78230805,4.35,208.0,19.448,599.9671053,1.735676279,C3S1
2.08,8.33,1130.88,328.1154673,350,1.18,9.96525,24.0,247.0493225,12.0,64.0,43.758,339.9259868,5.825908343,C3S1
16.87,8.3,865.28,285.3571038,200,0.88,58.9057,33.0,143.7238086,8.1,104.0,24.31,359.9588816,3.293627153,C3S1
5.7,7.62,311.68,106.4166034,80,0.369,2.546675,19.0,37.38850751,3.66,40.0,14.586,159.9753289,1.285238679,C2S1
11.11,8.6,499.84,149.7509705,90,0.64,60.89875,20.0,77.82966687,4.1,56.0,19.448,219.9671053,2.281594524,C3S1
1.9,7.71,1452.8,349.8810551,510,1.39,12.22404,43.0,239.8172365,4.0,144.0,63.206,619.8930921,4.187879333,C4S2
19.47,8.2,517.76,313.920877,20,3.92,46.5045,20.0,37.40802198,5.7,64.0,38.896,319.9342105,0.909298695,C3S1
9.02,7.09,1097.6,280.5587825,260,0.57,217.9068,25.0,109.7419942,5.94,160.0,53.482,619.9095395,1.916376568,C3S1
13.93,8.46,442.24,227.0898493,40,2.71,3.63178,15.0,104.575608,1.29,16.0,19.448,119.9671053,4.151179114,C2S1
